Class,Accuracy,Samples
Nut 5,0.8,80
Tomato 8,0.8494,239
Pear 10,0.8528,231
Pear 7,0.9021,235
Zucchini Green 1,0.9149,47
Blackberrie half rippen 1,0.92,150
Cucumber 9,0.9221,154
Pear 1,0.963,162
Apple 19,0.9668,241
Ginger 2,0.9722,144
Cucumber 4,0.9737,76
Pear 6,0.9742,233
Peach 5,0.9792,240
Apple 12,0.9805,154
Peach 4,0.9833,240
Apple 8,0.9868,228
apple_red_1,0.987,154
Nut 3,0.9873,79
Tomato 1,0.9907,216
Cucumber 5,0.9915,234
Raspberry 2,0.9931,145
Pear 9,0.9935,308
Tomato 5,0.9955,222
Cherry Wax not ripen 1,0.9956,225
Apple 18,0.9959,242
Avocado Black 1,1.0,231
Banana 3,1.0,77
Avocado Black 2,1.0,246
Apple 14,1.0,154
Apple 13,1.0,231
Apple 17,1.0,243
Apple 11,1.0,142
Cherry 4,1.0,231
Cherry 3,1.0,231
Cherimoya 1,1.0,320
Caju seed 1,1.0,75
Cactus fruit red 1,1.0,237
Cactus fruit green 1,1.0,231
Cabbage red 1,1.0,49
Cherry 5,1.0,228
Cherry Wax not ripen 2,1.0,76
Cherry Wax Red 3,1.0,150
Cucumber 1,1.0,50
Cucumber 10,1.0,240
Cherry Sour 1,1.0,150
Cherry Wax Red 2,1.0,150
Cherry Rainier 3,1.0,228
Cherry Rainier 2,1.0,231
Cucumber 7,1.0,234
Cucumber 6,1.0,307
Cucumber 11,1.0,78
Avocado Green 1,1.0,231
Banana 4,1.0,84
Beans 1,1.0,77
Blackberrie 1,1.0,150
Blackberrie 2,1.0,75
Blackberrie not rippen 1,1.0,231
Apple 5,1.0,146
Apple 7,1.0,229
Apple 9,1.0,231
Apple Core 1,1.0,156
Apple Red Yellow 2,1.0,225
Apple worm 1,1.0,231
Apple 10,1.0,231
Peach 3,1.0,306
Papaya 2,1.0,240
Onion White Peeled 1,1.0,102
Onion Red 2,1.0,237
Onion 2,1.0,255
Nut 4,1.0,79
Nut 1,1.0,80
Nut 2,1.0,79
Gooseberry 1,1.0,154
Cucumber 8,1.0,231
Nectarine Flat 2,1.0,153
Grape not ripen 1,1.0,155
Cucumber 3,1.0,161
Pear 12,1.0,156
Peach 6,1.0,237
Pear 11,1.0,231
Pear common 1,1.0,228
Pepper 2,1.0,158
Pepper Red 2,1.0,77
Pepper Orange 2,1.0,235
Pepper Red 4,1.0,158
Pepper Red 5,1.0,236
Pistachio 1,1.0,231
Pepper Red 3,1.0,156
Plum 4,1.0,231
Plum hole 1,1.0,225
Quince 3,1.0,242
Pear 13,1.0,240
Pear 5,1.0,233
Pear 3,1.0,72
Pear 8,1.0,231
Peanut shell 1x 1,1.0,52
Raspberry 5,1.0,75
Raspberry 4,1.0,150
Raspberry 3,1.0,147
Quince 4,1.0,249
Quince 2,1.0,240
Tomato 10,1.0,228
Tomato 9,1.0,239
Tomato 7,1.0,231
Tomato Cherry Maroon 1,1.0,100
Tomato Cherry Orange 1,1.0,100
Tomato Cherry Yellow 1,1.0,100
Tomato Cherry Red 2,1.0,100
Tomato Maroon 2,1.0,147
Zucchini dark 1,1.0,127
apple_6,1.0,157
Raspberry 6,1.0,150
apple_braeburn_1,1.0,160
apple_crimson_snow_1,1.0,159
apple_golden_2,1.0,154
apple_golden_1,1.0,154
apple_golden_3,1.0,158
apple_granny_smith_1,1.0,160
apple_hit_1,1.0,234
apple_pink_lady_1,1.0,156
apple_red_2,1.0,159
apple_red_3,1.0,140
apple_red_delicios_1,1.0,150
apple_red_yellow_1,1.0,154
apple_rotten_1,1.0,159
cabbage_white_1,1.0,47
carrot_1,1.0,50
eggplant_long_1,1.0,80
zucchini_1,1.0,80
